Year,Month,Methane,NDBI,NDVI,Humidity,Waste,WindSpeed,LST
2018,2,485.958316,0.221753344,0.527196419,0.007,13027.47264,1.953,26.94
2018,3,487.7383831,0.252834911,0.623150413,0.01,13075.19232,2.472,30.76666
2018,4,489.5184502,0.221549574,0.43060303,0.015,13122.912,2.851,30.83266
2018,5,490.1118059,0.251144781,0.418959229,0.018,13138.81856,3.473,29.12556
2018,6,491.891873,0.202221331,0.370616253,0.019,13186.53824,3.107,31.58
2018,7,494.8586514,0.293619937,0.33369022,0.02,13266.07104,3.309,32.47
2018,8,520.3729464,0.21240737,0.541367631,0.02,13950.05312,2.967,31.31
2018,9,499.0121413,0.360792475,0.503223416,0.019,13377.41696,2.531,31.31
2018,10,506.1324097,0.298727863,0.450221212,0.014,13568.29568,1.792,29.84058
2018,11,491.891873,0.296031362,0.412568182,0.011,13186.53824,1.487,27
2018,12,490.7051616,0.184350625,0.360214876,0.007,13154.72512,2.289,23.60166
2019,1,533.8447216,0.241149555,0.360464463,0.006,13438.81566,2.149,23.98666
2019,2,534.4973435,0.227567062,0.509283884,0.008,13455.24453,2.264,26.54888
2019,3,536.4552093,0.27872394,0.620418044,0.011,13504.53114,2.697,28.7119
2019,4,538.413075,0.228807236,0.538392837,0.015,13553.81775,3.462,30.72334
2019,5,539.0656969,0.288565626,0.396903168,0.018,13570.24662,4.542,31.68076
2019,6,541.0235626,0.246520018,0.371678512,0.019,13619.53323,3.321,29.95
2019,7,544.2866722,0.259733431,0.482340083,0.02,13701.67758,3.63,33.55
2019,9,548.8550255,0.284647994,0.584694766,0.019,13816.67967,2.534,32.31
2019,10,556.6864884,0.313976633,0.524839669,0.016,14013.82611,1.834,28.002
2019,11,541.0235626,0.282380872,0.472062534,0.013,13619.53323,2.16,27.76126
2019,12,539.7183188,0.165404128,0.398068595,0.008,13586.67549,1.883,23.69
2020,1,582.3292668,0.189884709,0.378312534,0.007,13736.60038,2.144,22.91
2020,2,583.0411608,0.132693336,0.491863085,0.006,13753.39329,2.13,25.83666
2020,3,585.1768427,0.249690904,0.549950826,0.009,13803.77202,2.139,31.243
2020,4,587.3125246,0.234085629,0.629876171,0.014,13854.15075,2.896,33.48692
2020,5,588.0244186,0.287647955,0.436238154,0.017,13870.94366,3.605,32.22334
2020,6,590.1601005,0.224138866,0.483425758,0.019,13921.32239,3.478,29.49
2020,7,593.7195703,0.315161297,0.453074242,0.02,14005.28694,3.302,29.05
2020,8,624.331011,0.383604416,0.586271074,0.021,14727.38207,3.407,29.2
2020,9,598.7028281,0.255856683,0.480717218,0.02,14122.83731,2.489,29.755
2020,10,607.2455557,0.336243706,0.531706887,0.018,14324.35223,1.891,28.332
2020,11,590.1601005,0.260384043,0.485804408,0.011,13921.32239,1.821,27.78882
2020,12,588.7363125,0.223854002,0.429983058,0.007,13887.73657,1.765,23.96142
2021,1,630.1004584,0.227041993,0.367220937,0.006,14253.49458,2.075,23.79
2021,2,630.8707524,0.220159932,0.45971708,0.006,14270.91939,2.185,26.611
2021,3,633.1816343,0.222757672,0.613262121,0.01,14323.19382,2.749,30.59454
2021,4,635.4925161,0.179235297,0.454275482,0.013,14375.46825,3.724,33.38652
2021,5,636.2628101,0.204590145,0.344763636,0.017,14392.89306,4.129,35.29444
2021,6,638.573692,0.230471236,0.298090358,0.019,14445.16749,3.671,30.67
2021,9,647.8172195,0.2983484,0.485108953,0.019,14654.26521,2.854,26.89
2021,10,657.060747,0.320600426,0.543352342,0.017,14863.36293,2.27,29.364
2021,11,638.573692,0.274099775,0.48291405,0.01,14445.16749,2.166,26.49112
2021,12,637.0331041,0.186655133,0.362033471,0.009,14410.31787,2.385,24.022
2022,1,678.4080855,0.258744871,0.442835124,0.007,15062.91376,2.471,22.84428
2022,2,679.2374353,0.22373323,0.505968044,0.008,15081.32808,2.452,25.075
2022,3,681.7254845,0.236313356,0.601656749,0.009,15136.57104,3.069,30.4388
2022,4,684.2135337,0.235601165,0.491123003,0.016,15191.814,5.114,31.30454
2022,5,685.0428834,0.274814993,0.328826309,0.017,15210.22832,4.029,33.27334
2022,7,691.6776813,0.21991459,0.480869835,0.019,15357.54288,4.036,30.63
2022,8,727.3397201,0.349490816,0.561937603,0.019,16149.35864,3.821,31.25
2022,9,697.4831295,0.307509316,0.65226281,0.019,15486.44312,2.913,28.85666
2022,10,707.4353264,0.306627979,0.568413774,0.016,15707.41496,2.591,29.26
2022,11,687.5309326,0.310718404,0.525297934,0.01,15265.47128,2.145,27.31352
2022,12,685.8722332,0.187671851,0.437116942,0.007,15228.64264,2.353,24.53616
2023,1,728.8480853,0.247072555,0.410250413,0.006,15177.24128,2.591,22.975
2023,2,729.7390976,0.217920088,0.494421625,0.008,15195.79536,2.493,26.7192
2023,3,732.4121346,0.247952798,0.59742438,0.01,15251.45761,2.631,30.34
2023,4,735.0851716,0.259114871,0.523789256,0.012,15307.11987,2.758,33.124
2023,5,735.976184,0.300464122,0.475170799,0.016,15325.67395,3.382,33.22
2023,6,738.6492209,0.029708945,0.495740634,0.019,15381.33621,4.195,32.114
2023,7,743.1042826,0.316695141,0.378125482,0.02,15474.10663,3.917,30.7566
